Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-11 18:33:43.400 +0530,"Failure",0:00:25,1,0,1,"20231211_183343.400/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 18:34:51.737 +0530,"Aborted",0:01:37,1,0,1,"20231211_183451.737/LogFile.txt","","",0
2023-12-11 18:36:31.218 +0530,"Failure",0:00:57,1,0,1,"20231211_183631.218/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/eyeShowPassword""",0
2023-12-11 18:37:46.945 +0530,"Success",0:00:34,0,0,0,"20231211_183746.945/LogFile.txt","","",1
2023-12-11 18:38:53.032 +0530,"Success",0:00:40,0,0,0,"20231211_183853.032/LogFile.txt","","",1
2023-12-11 18:40:49.679 +0530,"Failure",0:00:59,1,0,1,"20231211_184049.679/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/checkboxShowpassword""",0
2023-12-11 18:44:24.336 +0530,"Success",0:00:35,0,0,0,"20231211_184424.336/LogFile.txt","","",1
2023-12-11 18:46:15.552 +0530,"Failure",0:00:59,1,0,1,"20231211_184615.552/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/passwordField""",0
2023-12-11 18:48:18.893 +0530,"Success",0:00:37,0,0,0,"20231211_184818.893/LogFile.txt","","",1
2023-12-11 18:50:57.874 +0530,"Success",0:00:37,0,0,0,"20231211_185057.874/LogFile.txt","","",1
2023-12-12 11:01:41.522 +0530,"Failure",0:00:40,1,0,1,"20231212_110141.522/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/loginButton""",0
