Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-12 11:05:45.298 +0530,"Failure",0:00:36,1,0,1,"20231212_110545.298/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/emailField""",0
2023-12-12 11:07:25.177 +0530,"Failure",0:00:36,1,0,1,"20231212_110725.177/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/emailField""",0
2023-12-12 11:12:39.172 +0530,"Aborted",0:00:43,1,0,1,"20231212_111239.172/LogFile.txt","","",0
